X,Y,author,title,id
-3.76850493581,7.05443539161,"50cent","21 Questions","50cent~21_Questions"
-8.69014180633,3.85722805833,"50cent","After My Chedda","50cent~After_My_Chedda"
-8.9645214717,3.91885018675,"50cent","As The World Turns","50cent~As_The_World_Turns"
-8.99424631585,3.93368135798,"50cent","Back Down","50cent~Back_Down"
-8.81457973478,3.84432106418,"50cent","Bad News","50cent~Bad_News"
-8.98766021637,3.92691935732,"50cent","Banks Victory","50cent~Banks_Victory"
-9.01352666486,3.93388922648,"50cent","Banks Workout","50cent~Banks_Workout"
-8.93610734045,3.91639802274,"50cent","Be A Gentleman","50cent~Be_A_Gentleman"
-8.91407121643,3.8958612311,"50cent","Blood Hound","50cent~Blood_Hound"
-7.95902605864,3.72560732397,"50cent","Bring It All To Me","50cent~Bring_It_All_To_Me"
-8.89127385886,3.87602171728,"50cent","Corner Bodega","50cent~Corner_Bodega"
-6.91558096467,4.20620906504,"50cent","Cry Me A River (Remix)","50cent~Cry_Me_A_River_Remix"
-8.67765373222,3.84137666338,"50cent","Don''T Push Me","50cent~Don''T_Push_Me"
-8.97117622528,3.90559738963,"50cent","Doo Wop Freestyle","50cent~Doo_Wop_Freestyle"
-8.42896995921,3.79197218908,"50cent","Fat Bitch","50cent~Fat_Bitch"
-8.85380963913,3.93764753883,"50cent","Fuck Dat Bitch","50cent~Fuck_Dat_Bitch"
-8.9736960115,3.91540013157,"50cent","Fuck You","50cent~Fuck_You"
-8.97967447529,3.92279704662,"50cent","Funk Flex","50cent~Funk_Flex"
-8.99704732099,3.92676096383,"50cent","G Unit Soldiers","50cent~G_Unit_Soldiers"
-9.03152466379,3.94297442428,"50cent","Get Out The Club","50cent~Get_Out_The_Club"
-8.71276448736,3.78926020799,"50cent","Ghetto Qu''Ran (Forgive Me)","50cent~Ghetto_Qu''Ran_Forgive_Me"
-9.02869160924,3.92021913015,"50cent","Green Lantern","50cent~Green_Lantern"
-8.95710345472,3.89867774891,"50cent","Gun Runners","50cent~Gun_Runners"
-9.01611706109,3.93067060049,"50cent","Heat","50cent~Heat"
-8.98719617612,3.90826875207,"50cent","High All The Time","50cent~High_All_The_Time"
-8.96427959636,3.92929034392,"50cent","How To Rob","50cent~How_To_Rob"
-8.72803198931,3.82587717992,"50cent","I''M A Hustler","50cent~I''M_A_Hustler"
-5.02411974269,4.57093542861,"50cent","I''M Gonna Be Alright (Remix)","50cent~I''M_Gonna_Be_Alright_Remix"
-8.16834009414,3.93173064505,"50cent","I Smell Pussy","50cent~I_Smell_Pussy"
-8.9620979336,3.89341933263,"50cent","If I Can''T","50cent~If_I_Can''T"
-8.95405771065,3.90961762889,"50cent","In Da Club","50cent~In_Da_Club"
-8.39669906818,3.768729913,"50cent","Jerk","50cent~Jerk"
-9.00466354204,3.92695586794,"50cent","Just Fuckin'' Around","50cent~Just_Fuckin''_Around"
-9.00049529168,3.90938855923,"50cent","Life''S On The Line","50cent~Life''S_On_The_Line"
-8.99256085052,3.93845246397,"50cent","Like My Style","50cent~Like_My_Style"
-8.73697672504,3.82890160038,"50cent","Love Me","50cent~Love_Me"
-9.00938658366,3.92179504186,"50cent","Make Money By Any Means","50cent~Make_Money_By_Any_Means"
-8.79583918988,3.83379423831,"50cent","Many Men (Wish Death)","50cent~Many_Men_Wish_Death"
-8.98093528955,3.92669013012,"50cent","Patiently Waiting","50cent~Patiently_Waiting"
-8.59491164695,3.93716981845,"50cent","P.I.M.P.","50cent~PIMP"
-8.91078483206,3.88807274035,"50cent","Places To Go","50cent~Places_To_Go"
-9.01099537921,3.89615805093,"50cent","Poor Lil Rich","50cent~Poor_Lil_Rich"
-8.95884683952,3.92311118594,"50cent","Pt2 &Amp; Bump Heads","50cent~Pt2_Amp_Bump_Heads"
-8.83938190711,3.87876813149,"50cent","Rap Game","50cent~Rap_Game"
-8.81519050597,3.85739804184,"50cent","React","50cent~React"
-9.01916495092,3.9300837554,"50cent","Rotten Apple","50cent~Rotten_Apple"
-8.98882819249,3.92169402509,"50cent","Rowdy Rowdy","50cent~Rowdy_Rowdy"
-8.96204176222,3.92685786935,"50cent","Say What You Want","50cent~Say_What_You_Want"
-8.91269652604,3.89954266625,"50cent","Slow Dough","50cent~Slow_Dough"
-8.8942651029,3.89140121678,"50cent","Soldier","50cent~Soldier"
-8.99919923512,3.92985672368,"50cent","Surrounded By Hoes","50cent~Surrounded_By_Hoes"
-8.98932184213,3.92156116213,"50cent","That''S What''S Up","50cent~That''S_What''S_Up"
-9.00019666615,3.92951627038,"50cent","That Ain''T Gangsta","50cent~That_Ain''T_Gangsta"
